channel_id,video_id
UC1n9asjArhhGERn6FxSPAGA,2
UC1nIKlUMjn9haaVrYU4dmXQ,1
UC1nKO6qBhz8hzmtYeY1RXEQ,2
UC1nR8tgJPg6BTaMMC79VwYA,1
UC1nZ6EoeyNZ_uopRQ1HzG9w,1
UC1nZXl3DWfvengVXWscaTRA,11
UC1n_T1PzjU9EryQiPGLjl9A,1
UC1ntgJJmPHswc_xubCMwpPQ,2
UC1oRvh4TigFa-HXwj0_V0iA,2
UC1ob9lnXyd1aZ-Pi_TW7bxA,6
UC1pGgQdy0YB8fgpjonWuHhQ,11
UC1pR0vhO_jGQyBvNN30Sphg,1
UC1pYFEdSbkydhyGHsxZ-x0g,6
UC1pfsmDBnMQB8sOuQvmTvRQ,1
UC1qz8m_343aEbExvSCtSl2A,2
UC1rM_xvQzRdU-_YgS5EDh6Q,3
UC1rdRKXhn9SkZtY5PzxW14g,26
UC1sAQpHqHy4SV6ZSu98xGmg,272
UC1sBqOfnt8P1Rkleo8JVogw,1
UC1sPabmfNQ3HwBsqAK9OoYw,3
UC1svku76q4PSN1or6g4Mjtg,2
UC1tNvjab-zvUzV4D5Km-1NA,1
UC1tRVT1fbo_A8-TrFdJPtmQ,1
UC1tUOoiGnhzpIm9Vr9ZOehg,1
UC1tnj_v8Sn-hWERFvqSjBWQ,10
UC1uO2n-iBrK8CRxa2gntReg,1
UC1uQ68rozeO4hPZYce4CiVQ,2
UC1uunsjUSb_RbPv_HEWndQg,8
UC1vDM_YmtelNdbLzD9z9Zyg,1
UC1vFTuLWdqIhOlCK51gZbBQ,3
UC1wi36loyjQepvlkZc12Hbw,16
UC1xHJoiSXk4JGRlSG1XrjYg,894
UC1xMoLlrv0DJ3hcBo914a2Q,261
UC1xdQmLcJKYQvpQNU3xxwsQ,2
UC1yUczJqZT29CLWu8ClFn-A,2
UC1zJaTn9NU-SZP_aHXB5qDw,4
UC1zjakOTOvq2wBlayNypvLg,1
UC1zv9AqmIcToqmluF_amcTw,1
UC1zztDdkEwLcpCDcQeiYU7Q,2
UC2-cInwyBeJ8jYGcZIUQ_Mw,4
UC2-n45vdFhkvfIYYSGhoH8w,1
UC20m5AEfkjpR_6qP3Krp4Nw,1
UC20pDNlCF4C6vBNoH7-ULZw,1
UC21BZYSXJ9WD6ouB_fnyIkg,3
UC21eYyjR9Yq4run9xFFu6Ag,6
UC21wR2opaqfsgcKtqNeWvZQ,1
UC22B9hVNit3v7nOhxsK6wVQ,4
UC22dH2oRasje--S118lRGhw,1
UC22gUNj0sgOlBAR_zLfdh5A,4
UC22uImyNvcD8rdnc6LIoY9g,3
UC22zQ9nBEk6KOjUWqR5XXZg,1
UC247aENa22OalpDeofoZPUg,8
UC24nnZfXEM4irUH2DqCczyQ,1
UC25-fuEvOR8URjrH5urAF9Q,1
UC25pyzZn8f4l2jgy3IBV20A,12
UC26H-jRpq02S9IVCFImWvhA,1
UC26ILhRYcKv2xeCDtvicb6g,1
UC26jSlV26AYYTklOd_71jdA,1
UC26qdEscyGSfmbcpmWxBxHw,2
UC27pKY93SOwOyJQWzNPfnqA,3
UC28LvdHuPr-0nFztDYqbntA,1
UC28NQ0FH0gK8uDFLtXpo1lg,1
UC28WUIGPjv-QMK6LNocYPLQ,1
UC28q-2q51WN062AfJk6NbhQ,14
UC295KKymVzoWPdIKWiO2FUg,2
UC2AIuShJ4BKriG1DfGWfWVQ,1
UC2AtG9Ewa5o7O0wWuaDIfmA,5
UC2B3CxtZYHCo2c3J7k_h6Sg,8
UC2B_cnPbHIu7NZhxYOrA_Og,7
UC2BepSA6oylB3vEQV3IipkA,2
UC2BkB51PseK954fNmjDo17g,1
UC2C53DLKfyvcDaWP6EY3eNA,1
UC2CMVhcb4-BYjdK23O5cwYA,39
UC2Cc1Eqys3sVDnDy1dr8PRA,1
UC2Cm1R1YLISBhAB3oEKNTwg,2
UC2CmCff8ZOrOKq_0AGkN7_w,1
UC2Eegs0TkCr-DWcztKO5AIw,1
UC2F9WJrgr-OI9zw4wBhtPgg,1
UC2F9qDrYERbrzAhRlLQvKww,2
UC2FGc_PvP05Ned2Q23NkYJA,13
UC2FbOAyzLDzYwD-aMbD-5ng,1
UC2FrJXBb3WVAKZ8jpxkZxlA,46
UC2G7lJDxEnNJ_lz80KC3rmg,2
UC2GRJOrY04aZjTmeBKr7nLA,21
UC2GSJzb4guYwms0i8-Ey4eQ,2
UC2GdYrkC0-W-TQcSm-Nddhg,1
UC2GwMhJ9ffCY5hR_-cIz1Bw,80
UC2HF9wdE5sLVBncE7cIIWTQ,1
UC2HK9A2BBcdQlZ5U-Uahk0w,1
UC2HcnzH_OJ2PcPbSuKlzWew,3
UC2HiRiOMCx2xcV2M4N3taaQ,17
UC2HzbasU3yzdmQ7q2oM3kwQ,1
UC2I9WJMS8kFE0GU2O349Mag,1
UC2JG7hTBibteZ47bBW_3QHw,1
UC2JGaD7zFXNpZhWYegDATTg,1
UC2JUMAK7VD4JgJgffPQv9uQ,1
UC2JWhWKt-B4JFAMYNOkLrvg,1
UC2JYQuu1nxB6f2a0pK-CwGQ,1
UC2JcFCoSQnxqmeMxvA49Vjg,2
UC2JtLqBX2sCD8wTxaUJx1NA,11
UC2JtMd0l4xWgcq2aXNR8sRw,7
UC2JwG0p45UXY5D5JrysopSQ,1
UC2KeyyS25VR1b7CNsj1IPZQ,1
UC2KhIMQ7eDKGC12U7BTkZ_g,2
UC2L4SIhcCCCztQqkuC2JC6w,3
UC2LZSB4R7Gzlhnql7lkQkRg,2
UC2MYZHG8a56u4REI2RedtRA,2
UC2Mhli71y5UFaTpXzEazsNg,6
UC2N5r2FvEOiDPKvaLW9rivw,1
UC2NzJuX6FTyOhoBrFj9Ms1Q,3
UC2O-N1R4x56XhndL4qqfKcw,34
UC2OMZoHcVtbjG_Lrl4RDdPA,3
UC2OUb6JWVYjbZHqQ49rkxgg,2
UC2Opc6QQIe7g9wuKKFBT-MA,4
UC2PKHjgNzCpQW_PjrNIL_7A,4
UC2PgM2cakYLh_m90pctX5xA,29
UC2QBCIyo_FbTlm0Rfh_6wkw,4
UC2QfnVTbDxaZ5a7A2ciUvjQ,1
UC2R3T6o0GpfIN2f74X6I6pg,5
UC2RKQ-psTBA-PfUlOQLUoFg,2
UC2Rjp0E93wXQH1MSBM69zUA,6
UC2SJnuQZiU-7--ZZroWy1RQ,1
UC2UWtuZR3kH-5C26HVMMB6A,2
UC2UaNw8A-fQhIBBnaZPKEmA,3
UC2UlumHa7nHPBXTYf3dX72g,1
UC2V7cqr36CdsTeWQKNDZ5ng,5
